Player,GP,PTS,+/-,PIM,S,TOI,BLK,HIT
Radko Gudas\gudasra01,77,20,6,63,136,1376,133,255
Erik Gudbranson\gudbrer01,76,10,-20,87,94,1386,84,184
Jake Guentzel\guentja01,82,76,13,26,227,1587,47,105
Brendan Guhle\guhlebr01,8,1,-2,4,15,120,7,9
Carl Gunnarsson\gunnaca01,25,7,8,6,21,398,35,11
Denis Gurianov\guriade01,21,4,-3,0,23,228,9,23
Erik Gustafsson\gustaer02,79,60,-6,34,160,1784,115,100
Carl Hagelin\hagelca01,58,19,7,30,99,854,20,64
Robert Hagg\haggro01,82,20,-3,63,86,1390,158,258
Ron Hainsey\hainsro01,81,23,30,21,81,1641,144,91
Libor Hajek\hajekli01,5,1,1,6,10,83,3,5
Micheal Haley\haleymi01,43,6,-2,75,34,348,16,76
Taylor Hall\hallta02,33,37,-6,16,113,650,29,22
Dan Hamhuis\hamhuda01,57,5,-2,28,39,915,61,38
Dougie Hamilton\hamildo01,82,39,0,54,259,1613,91,160
Travis Hamonic\hamontr01,69,19,21,33,128,1440,167,44
Noah Hanifin\hanifno01,80,33,18,12,116,1662,83,87
Joel Hanley\hanlejo01,16,0,0,2,9,219,16,16
Markus Hannikainen\hannima01,44,7,-5,2,52,417,8,63
Martin Hanzal\hanzama01,7,2,-4,4,14,90,4,14
Ben Harpur\harpube01,51,5,-13,56,50,899,69,89
Scott Harrington\harrisc01,73,17,6,23,54,952,81,73
Ryan Hartman\hartmry01,83,26,1,74,145,1089,39,107
Garnet Hathaway\hathaga01,76,19,14,56,77,800,36,200
Erik Haula\haulaer01,15,7,1,10,26,249,6,11
Jayce Hawryluk\hawryja01,42,12,-8,16,35,396,25,101
John Hayden\haydejo01,54,5,-12,27,42,495,23,97
Kevin Hayes\hayeske01,71,55,-2,12,156,1298,15,58
Dillon Heatherington\heathdi01,5,1,4,0,5,51,2,6
Victor Hedman\hedmavi01,70,54,24,44,182,1594,97,59
Tim Heed\heedti01,37,13,9,10,41,532,31,16
Danton Heinen\heineda01,77,34,13,16,114,1076,36,54
Miro Heiskanen\heiskmi01,82,33,-14,16,182,1895,71,34
Darren Helm\helmda01,61,17,-11,20,107,889,26,50
Matt Hendricks\hendrma01,26,3,-2,19,23,230,8,40
Adam Henrique\henriad01,82,42,-5,24,122,1349,71,78
Tomas Hertl\hertlto01,77,74,5,18,176,1465,64,53
Joe Hicketts\hickejo01,11,0,-9,0,16,204,27,17
Thomas Hickey\hicketh01,40,4,5,33,47,740,71,40
Vinnie Hinostroza\hinosvi01,72,39,-4,14,152,1099,41,69
Roope Hintz\hintzro01,58,22,-11,24,99,815,36,87
Taro Hirose\hirosta01,10,7,0,2,15,153,9,1
Nico Hischier\hischni01,69,47,0,24,160,1249,44,53
Niklas Hjalmarsson\hjalmni01,82,10,8,44,57,1615,187,45
Joshua Ho-Sang\hosanjo01,10,2,2,6,10,145,3,0
Mike Hoffman\hoffmmi02,82,70,-24,30,253,1463,26,42
Nick Holden\holdeni01,61,15,5,14,77,1116,76,104
Justin Holl\hollju01,11,1,-5,2,6,137,5,9
Korbinian Holzer\holzeko01,22,4,5,8,15,353,38,61
Julius Honka\honkaju01,29,4,-2,10,38,398,31,16
Patric Hornqvist\hornqpa01,69,37,-3,26,197,1068,34,150
Bo Horvat\horvabo01,82,61,-4,33,227,1709,63,62
Brett Howden\howdebr01,66,23,-16,14,74,986,47,64
Filip Hronek\hronefi01,46,23,-10,30,73,918,32,66
Jonathan Huberdeau\huberjo01,82,92,-14,40,226,1546,45,57
Charles Hudon\hudonch01,32,5,-9,16,50,374,9,73
Quinn Hughes\hughequ01,5,3,0,2,6,90,1,1
Brad Hunt\huntbr01,42,12,-2,8,75,625,28,18
Dryden Hunt\huntdr01,31,10,0,8,53,343,9,65
Matt Hunwick\hunwima01,14,2,-7,4,10,220,9,6
Ben Hutton\huttobe01,69,20,-23,43,114,1543,102,55
Tomas Hyka\hykato01,17,4,-2,2,22,200,5,6
Zach Hyman\hymanza01,71,41,16,65,144,1227,39,102
Alex Iafallo\iafalal01,82,33,-17,22,148,1380,54,87
Matt Irwin\irwinma01,44,7,5,38,50,497,37,80
Joshua Jacobs\jacobjo01,1,0,-1,0,1,15,1,2
Mark Jankowski\jankoma01,79,32,6,12,99,1004,56,30
Mattias Janmark\janmama02,81,25,-4,24,105,1233,44,28
Calle Jarnkrok\jarnkca01,79,26,13,12,106,1219,22,56
Christian Jaros\jarosch01,61,10,-14,27,65,876,82,110
